filename,artist,title,songLength,upload_status,upload_time,box_file_id,lrc_box_file_id
Oasis - Champagne Supernova.m4a,Oasis,Champagne Supernova,450.51,uploaded,2024-11-07 13:53:55,1692218005386,1692209233494
No Doubt - Don't Speak.m4a,No Doubt,Don't Speak,263.53,uploaded,2024-11-07 13:54:10,1692212540923,1692225954904
Smash Mouth - All Star.m4a,Smash Mouth,All Star,200.37,uploaded,2024-11-07 13:54:18,1692682475871,1692682026930
Øien - Gehenna 2023.m4a,Øien,Gehenna 2023,180.71,uploaded,2024-11-07 13:53:58,1694177152386,None
Icona Pop - I Love It (feat. Charli XCX).m4a,Icona Pop,I Love It (feat. Charli XCX),157.15,uploaded,2024-11-07 13:53:50,1694180571696,1694187313817
Alan Walker - Faded.m4a,Alan Walker,Faded,212.63,uploaded,2024-11-07 13:54:02,1694264384826,1694281482637
Marshmello - Alone.m4a,Marshmello,Alone,273.8,uploaded,2024-11-07 13:54:05,1694280285200,1694277832441
"DJane HouseKat, Blümchen & KYANU - Luv with U.m4a","DJane HouseKat, Blümchen & KYANU",Luv with U,153.71,uploaded,2024-11-07 13:54:14,1694177051485,1694184590071
"마찬우, Mushroom & Jel7yz - Hold On to Me.m4a","마찬우, Mushroom & Jel7yz",Hold On to Me,149.57,uploaded,2024-11-07 13:54:20,1694174337225,None
"Vengaboys - Boom, Boom, Boom, Boom!!.m4a",Vengaboys,"Boom, Boom, Boom, Boom!!",202.58,uploaded,2024-11-07 13:54:24,1694270814169,1694270847650
